id;sinistre_id;cga_police_id;cga_vehicule_id;cga_assure_id;date;numeroDuSinistre;dateDeSurvenanceDuSinistre;heureSurvanceDusinistre;dateOuvertureDuSinistre;lieuDuSinistre;identificationTiers;pourcentadeDeResponsabilite;numeroDePoliceCompagnieAdverse;codeCompagnieAdverse;porcentageCompagnieAdverse;numeroImmatriculationVehiculeAdverse;typeImmatriculationVehiculeAdverse;mouvementDusinistre;natureDuSinistre;Calculer_Sinistre
2;2;174557;166073;144565;NULL;S170155501;2017-12-18;0;2017-12-18;;;100;834736;11;0;1651TU133;TU;3;M;0
4;4;174560;17936;119709;NULL;S170032921;2017-03-11;0;2017-03-27;;;100;010204000027;04;0;3626TU159;TU;3;M;0
5;5;174573;17192;144580;NULL;S170144161;2017-11-23;0;2017-11-27;;;0;0101160000565;04;0;8312TU163;TU;3;M;0
6;6;174581;166084;135912;NULL;S170022571;2017-02-23;0;2017-03-02;;;0;20075.0336001/3;01;0;9213TU96;TU;3;M;0
7;7;174591;21767;144597;NULL;S170095321;2017-08-08;0;2017-08-10;;;0;505311517;14;0;4848TU97;TU;3;M;0
9;9;174608;22540;144614;NULL;S170122591;2017-10-10;0;2017-10-11;;;0;555268042;14;0;1255TU191;TU;3;M;0
12;12;174617;39094;144623;NULL;S170107651;2017-08-28;0;2017-09-08;;;100;10/10092551;11;0;110TU197;TU;3;M;0
13;13;174619;40390;144625;NULL;S180003501;2018-01-04;0;2018-01-17;;;100;1370007205;06;0;1295TU169;TU;3;M;0
14;14;174622;8024;144628;NULL;S170022351;2017-02-15;0;2017-03-02;;;100;201301116788;09;0;9278TU165;TU;3;M;0
15;15;174624;42187;144630;NULL;S170018611;2017-02-20;0;2017-02-22;;;0;167 255633;10;0;1437TU164;TU;3;M;0
16;16;174626;39979;144631;NULL;S180014381;2018-02-03;0;2018-02-10;;;0;100691510;11;0;NULL;RS;3;M;0
17;17;174629;41233;144634;NULL;S170070671;2017-05-27;0;2017-06-14;;;0;80023454;10;0;5344TU77;TU;3;M;0
18;18;174633;42281;144637;NULL;S150153411;2015-11-20;0;2017-09-05;;;100;555072616;14;0;2377TU160;TU;3;M;0
20;20;174672;44453;144674;NULL;S170001761;2017-01-06;0;2017-01-11;;;0;101000562/2;06;0;7111TU131;TU;3;M;0
22;22;174697;9531;144699;NULL;S170106461;2017-08-31;0;2017-09-06;;;100;0100/580110947;14;0;15-350311;-;3;M;0
25;25;174705;9693;144706;NULL;S170012311;2017-02-06;0;2017-02-07;;;0;28547;06;0;8415TU185;TU;3;M;0
27;27;174732;166134;144733;NULL;S170146661;2017-02-25;0;2017-11-30;;;100;505191642;14;0;9753TU104;TU;3;M;0
28;28;174737;166138;144738;NULL;S160160931;2016-11-28;0;2017-11-08;;;100;15725403;10;0;2147TU179;TU;3;M;0
29;29;174737;166138;144738;NULL;S170166821;2017-10-02;0;2018-01-18;;;100;253799;10;0;9377TU132;TU;3;M;0
30;30;174741;10656;144742;NULL;S170125101;2017-10-12;0;2017-10-17;;;100;E01382;12;0;9782TU183;TU;3;M;0
31;31;174741;10656;144742;NULL;S180006941;2018-01-23;0;2018-01-25;;;0;CI0555N00047603;14;0;RS81325;RS;3;M;0
33;33;174756;11446;144757;NULL;S180013771;2018-02-07;0;2018-02-09;;;0;10/100462878;11;0;6155TU107;TU;3;M;0
34;34;174759;166149;144760;NULL;S170086501;2017-07-13;0;2017-07-24;;;100;206250140;10;0;3767TU125;TU;3;M;0
35;35;174771;12105;144772;NULL;S170129041;2017-10-08;0;2017-10-24;;;100;D33930;12;0;6940TU158;TU;3;M;0
36;36;174773;166156;144774;NULL;S170071341;2017-06-14;0;2017-06-16;;;0;10/100574538;11;0;4332TU139;TU;3;M;0
